QuantityX	Name	Edition	Foil	Price	List name
2x	Street Urchin	Commander Legends: Battle for Baldur's Gate		$0.19	Baldurs gate uncommons
1x	Swooping Lookout	Phyrexia: All Will Be One		$0.19	April 2023
1x	Thirsting Shade	Ravnica Allegiance		$0.19	B/W Commander randoms
1x	Transplant Theorist	Phyrexia: All Will Be One		$0.19	April 2023
1x	Upriser Renegade	Kamigawa: Neon Dynasty		$0.19	Baldurs gate uncommons
2x	Upriser Renegade	Kamigawa: Neon Dynasty		$0.19	Kamigawa and innistrad
1x	Viral Spawning	Phyrexia: All Will Be One		$0.19	April 2023
1x	Watercourser	Magic 2013		$0.19	Foil rares and uncommons
1x	Watercourser	Magic Origins		$0.19	Chulane
1x	Whack	Streets of New Capenna		$0.19	Black uncommons
1x	A Little Chat	Streets of New Capenna		$0.20	Baldurs gate uncommons
1x	A Little Chat	Streets of New Capenna		$0.20	New capenna, strixhaven rares uncommons
1x	Abdel Adrian, Gorion's Ward	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Abdel Adrian, Gorion's Ward	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Aberrant Mind Sorcerer	Adventures in the Forgotten Realms		$0.20	April 2023
1x	Aberrant Mind Sorcerer	Adventures in the Forgotten Realms		$0.20	Blue uncommons
1x	Agent of the Shadow Thieves	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
2x	Agent of the Shadow Thieves	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Ainok Artillerist	Dragons of Tarkir		$0.20	Foil rares and uncommons
1x	Air Servant	Magic 2014		$0.20	Blue uncommons
1x	Alabaster Mage	Jumpstart		$0.20	B/W Commander randoms
1x	Alabaster Mage	Jumpstart		$0.20	Baldurs gate uncommons
1x	Alluring Suitor //  // Deadly Dancer	Innistrad: Crimson Vow		$0.20	April 2023
1x	Alora, Merry Thief	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Alora, Merry Thief	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Amber Gristle O'Maul	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Amber Gristle O'Maul	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Anoint with Affliction	Phyrexia: All Will Be One		$0.20	April 2023
1x	Arbalest Engineers	The Brothers' War		$0.20	April 2023
1x	Arcane Encyclopedia	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Arcane Encyclopedia	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Ardent Dustspeaker	Strixhaven: School of Mages		$0.20	Baldurs gate rares
1x	Ardent Dustspeaker	Strixhaven: School of Mages		$0.20	New capenna, strixhaven rares uncommons
1x	Ardent Dustspeaker	Strixhaven: School of Mages		$0.20	Red uncommons
1x	Arms Race	The Brothers' War		$0.20	April 2023
1x	Artillery Blast	Dominaria United	Foil	$0.20	April 2023
1x	Azorius Guildgate	Ravnica Allegiance		$0.20	Chulane
1x	Bag of Holding	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Bag of Holding	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Baneblade Scoundrel //  // Baneclaw Marauder	Innistrad: Midnight Hunt		$0.20	Baldurs gate rares
1x	Baneblade Scoundrel //  // Baneclaw Marauder	Innistrad: Midnight Hunt		$0.20	Baldurs gate uncommons
2x	Baneblade Scoundrel //  // Baneclaw Marauder	Innistrad: Midnight Hunt		$0.20	Kamigawa and innistrad
1x	Banishment	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Banishment	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Barbed Spike	Modern Horizons 2		$0.20	Baldurs gate uncommons
1x	Barbed Spike	Modern Horizons 2		$0.20	Osgir others
1x	Barter in Blood	Jumpstart		$0.20	B/W Commander randoms
1x	Barter in Blood	Jumpstart		$0.20	Baldurs gate uncommons
1x	Barter in Blood	Jumpstart		$0.20	Black uncommons
1x	Basilica Guards	Gatecrash		$0.20	Foil rares and uncommons
1x	Bird Maiden	Fourth Edition		$0.20	Old cards
1x	Blink Dog	Adventures in the Forgotten Realms		$0.20	White uncommons
1x	Blood Hypnotist	Innistrad: Crimson Vow		$0.20	Red uncommons
1x	Bloodboil Sorcerer	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Bloodsworn Squire //  // Bloodsworn Knight	Innistrad: Crimson Vow		$0.20	B/W Commander randoms
1x	Blossom Prancer	Kamigawa: Neon Dynasty		$0.20	Baldurs gate uncommons
1x	Bond of Passion	War of the Spark		$0.20	Baldurs gate uncommons
